Dataglove Experiment Tue Sep 25 17:00:17 2018
USB0 DG5U_Right RightHand	1

event	var	l_thumb	l_index	l_middle	l_ring	l_little	r_thumb	r_index	r_middle	r_ring	r_little	time
glove	1	0	0	0	0	0	3677	3957	4066	3724	3638	401561
glove	1	0	0	0	0	0	3677	3957	4066	3724	3638	401581
glove	1	0	0	0	0	0	3677	3957	4066	3724	3638	401601
glove	1	0	0	0	0	0	3677	3957	4066	3724	3638	401621
glove	1	0	0	0	0	0	3678	3957	4066	3724	3638	401641
glove	1	0	0	0	0	0	3678	3957	4066	3724	3638	401661
glove	1	0	0	0	0	0	3677	3957	4066	3724	3638	401681
glove	1	0	0	0	0	0	3678	3957	4066	3724	3638	401701
glove	1	0	0	0	0	0	3678	3957	4066	3723	3638	401721
glove	1	0	0	0	0	0	3678	3957	4066	3723	3638	401741
glove	1	0	0	0	0	0	3678	3957	4066	3723	3638	401761
glove	1	0	0	0	0	0	3678	3956	4066	3723	3638	401781
glove	1	0	0	0	0	0	3677	3957	4066	3723	3638	401801
glove	1	0	0	0	0	0	3678	3956	4066	3723	3638	401821
glove	1	0	0	0	0	0	3677	3956	4066	3723	3638	401841
glove	1	0	0	0	0	0	3678	3957	4066	3723	3638	401861
glove	1	0	0	0	0	0	3677	3956	4066	3723	3638	401881
glove	1	0	0	0	0	0	3678	3957	4066	3723	3638	401901
glove	1	0	0	0	0	0	3677	3957	4066	3723	3638	401921
glove	1	0	0	0	0	0	3677	3956	4066	3723	3638	401941
glove	1	0	0	0	0	0	3678	3956	4066	3723	3638	401961
glove	1	0	0	0	0	0	3678	3956	4066	3723	3638	401981
glove	1	0	0	0	0	0	3677	3957	4066	3723	3638	402001
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402021
glove	1	0	0	0	0	0	3677	3956	4066	3723	3638	402041
glove	1	0	0	0	0	0	3678	3956	4066	3723	3638	402061
glove	1	0	0	0	0	0	3678	3956	4066	3723	3638	402081
glove	1	0	0	0	0	0	3677	3956	4066	3723	3638	402101
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402121
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402141
glove	1	0	0	0	0	0	3678	3956	4065	3722	3638	402160
glove	1	0	0	0	0	0	3677	3956	4066	3723	3638	402180
glove	1	0	0	0	0	0	3677	3956	4066	3723	3638	402200
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402220
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402240
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402260
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402280
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402300
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402320
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402340
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402360
glove	1	0	0	0	0	0	3677	3956	4065	3722	3638	402380
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402400
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402420
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402440
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402460
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402480
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402500
glove	1	0	0	0	0	0	3677	3956	4066	3722	3639	402520
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402540
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402560
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402580
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402600
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402620
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402640
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402660
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402680
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402700
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402720
glove	1	0	0	0	0	0	3677	3956	4066	3722	3639	402740
glove	1	0	0	0	0	0	3677	3956	4066	3722	3639	402760
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402780
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402800
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402820
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402840
glove	1	0	0	0	0	0	3677	3956	4066	3722	3639	402860
glove	1	0	0	0	0	0	3677	3956	4066	3722	3639	402880
glove	1	0	0	0	0	0	3677	3956	4065	3722	3638	402900
glove	1	0	0	0	0	0	3677	3956	4066	3722	3639	402920
glove	1	0	0	0	0	0	3677	3956	4066	3722	3638	402940
glove	1	0	0	0	0	0	3677	3956	4066	3722	3639	402960
glove	1	0	0	0	0	0	3676	3956	4066	3721	3639	402980
glove	1	0	0	0	0	0	3677	3956	4066	3721	3639	403000
glove	1	0	0	0	0	0	3676	3955	4066	3722	3639	403020
glove	1	0	0	0	0	0	3676	3951	4066	3721	3639	403040
glove	1	0	0	0	0	0	3676	3945	4066	3721	3639	403060
glove	1	0	0	0	0	0	3676	3942	4065	3720	3639	403080
glove	1	0	0	0	0	0	3676	3938	4066	3720	3639	403100
glove	1	0	0	0	0	0	3677	3933	4065	3720	3640	403120
glove	1	0	0	0	0	0	3678	3928	4065	3720	3640	403140
